iter	Logloss
0	0.6860893425
1	0.6755996607
2	0.6659530816
3	0.6577877359
4	0.6497811734
5	0.6410601185
6	0.6355007544
7	0.6295913401
8	0.622747563
9	0.6176722361
10	0.6085768378
11	0.6038532157
12	0.5968344639
13	0.5906242531
14	0.5844241256
15	0.5799312852
16	0.5734858014
17	0.568424435
18	0.5602832431
19	0.554572227
20	0.5470133105
21	0.5409468995
22	0.5358603498
23	0.5314578606
24	0.5254942158
25	0.5191797895
26	0.5146843656
27	0.5095587184
28	0.5043589794
29	0.4992614315
30	0.4959098304
31	0.4913379106
32	0.4865199421
33	0.4820810349
34	0.4789472996
35	0.4751741603
36	0.4721206477
37	0.4666694307
38	0.4621360196
39	0.4575470087
40	0.4526793479
41	0.4484886066
42	0.4444035777
43	0.4403024861
44	0.437624523
45	0.4336001292
46	0.4303826377
47	0.426153995
48	0.4222594572
49	0.4186847022
50	0.4148451136
51	0.4111780009
52	0.4076695752
53	0.4054384347
54	0.4031943728
55	0.3981073845
56	0.3959905861
57	0.3927479063
58	0.3895917968
59	0.3875190752
60	0.3854383431
61	0.3824187791
62	0.3795375107
63	0.3770798166
64	0.3752209801
65	0.3729240504
66	0.3704714433
67	0.3686957222
68	0.3667655498
69	0.3642408588
70	0.3619247924
71	0.3602542853
72	0.3582423328
73	0.3547364785
74	0.3525805207
75	0.3510199347
76	0.3481373349
77	0.3453725374
78	0.3424094458
79	0.3405491222
80	0.3370882819
81	0.3353348797
82	0.3327033639
83	0.3309228297
84	0.3288423181
85	0.3265040808
86	0.3240909566
87	0.3227075753
88	0.3203633312
89	0.3183741348
90	0.3171857171
91	0.3157627137
92	0.3145799866
93	0.3129590013
94	0.3113645044
95	0.3102610092
96	0.3086813671
97	0.3076097122
98	0.3056145544
99	0.3045754803
100	0.3035351197
101	0.3011560529
102	0.2996812118
103	0.2969645681
104	0.2947207278
105	0.2934169758
106	0.2923425177
107	0.2901263168
108	0.2886309896
109	0.287664502
110	0.2862168713
111	0.2853775237
112	0.2843519534
113	0.2835051033
114	0.2820571869
115	0.2796607094
116	0.2788415894
117	0.278050092
118	0.2771906578
119	0.2757263028
120	0.27493177
121	0.273522391
122	0.2721759542
123	0.2709543244
124	0.269675736
125	0.268497433
126	0.2678064741
127	0.2666470947
128	0.2658266231
129	0.2649849243
130	0.2641504016
131	0.2622773304
132	0.2610776739
133	0.2604557789
134	0.2594169297
135	0.2584243724
136	0.2574987614
137	0.2558688829
138	0.2545276653
139	0.2533627231
140	0.2516165592
141	0.2509342015
142	0.249984136
143	0.2494604398
144	0.2487106877
145	0.2477571391
146	0.2469283512
147	0.2451704537
148	0.2444780187
149	0.2432174454
150	0.2424754008
151	0.2420451105
152	0.2414980432
153	0.2402244692
154	0.2392540388
155	0.2388581058
156	0.2376758023
157	0.2369137824
158	0.2360978756
159	0.2348230791
160	0.2341530915
161	0.2333687844
162	0.2324829155
163	0.2320448925
164	0.2315922241
165	0.2304651043
166	0.229811442
167	0.2292164612
168	0.228218706
169	0.2274525971
170	0.2267659598
171	0.2260152311
172	0.225520979
173	0.2251030351
174	0.2243646874
175	0.2239082329
176	0.2235802392
177	0.2231660167
178	0.222584297
179	0.2221461804
180	0.2213879587
181	0.2208145447
182	0.2205682849
183	0.2199469378
184	0.2196482482
185	0.2188229343
186	0.2182219945
187	0.2177487513
188	0.2170387121
189	0.2166560952
190	0.2164250223
191	0.2157807759
192	0.2151854752
193	0.2146953399
194	0.2142769505
195	0.2132550095
196	0.2126204754
197	0.2122982134
198	0.2116226658
199	0.2112794438
200	0.2110756804
201	0.2105985609
202	0.2102963865
203	0.2097253957
204	0.2091507827
205	0.2087667528
206	0.2082882683
207	0.2081141859
208	0.2076851803
209	0.2073652803
210	0.2070776497
211	0.2067870008
212	0.2061994932
213	0.2059681126
214	0.2058084252
215	0.2055882962
216	0.205136877
217	0.2049266604
218	0.204681327
219	0.2042999931
220	0.203922051
221	0.2035745554
222	0.2034343433
223	0.203145723
224	0.202652382
225	0.2024439116
226	0.2023132827
227	0.2019362201
228	0.2017837333
229	0.2013473991
230	0.201223349
231	0.2010037142
232	0.2007058179
233	0.2001822018
234	0.2000716764
235	0.1997649903
236	0.1994416191
237	0.1990694123
238	0.1985276148
239	0.1982744632
240	0.1981492201
241	0.1978584238
242	0.197719345
243	0.1976258153
244	0.1973418094
245	0.1971230481
246	0.1970333022
247	0.1969190707
248	0.196521859
249	0.196226811
250	0.1961297613
251	0.1958527349
252	0.1953559995
253	0.1948292277
254	0.1946086362
255	0.1944008356
256	0.1942735012
257	0.193963647
258	0.1938126835
259	0.193207908
260	0.1929902841
261	0.1928957427
262	0.192508014
263	0.1922005791
264	0.1918942606
265	0.1916199813
266	0.19139013
267	0.1910833029
268	0.1910085069
269	0.1907417916
270	0.1905305632
271	0.1903715138
272	0.190229034
273	0.1899192236
274	0.1898411233
275	0.1895751502
276	0.1887895776
277	0.1885541528
278	0.1883531327
279	0.1882947718
280	0.188102625
281	0.1874001476
282	0.1872519243
283	0.1870812925
284	0.1867870217
285	0.1862682762
286	0.1861448273
287	0.1858947389
288	0.185694692
289	0.1853127198
290	0.1850382251
291	0.1848719873
292	0.1847050971
293	0.1846324306
294	0.184392494
295	0.1842723723
296	0.1840613163
297	0.1837468757
298	0.1836308736
299	0.1835405672
300	0.1833388196
301	0.1831520532
302	0.1830281315
303	0.1827580173
304	0.1822460314
305	0.1819022383
306	0.181644349
307	0.1814563137
308	0.1811732261
309	0.181041182
310	0.1807890095
311	0.1803165852
312	0.1797421008
313	0.1795762709
314	0.1792775717
315	0.1790309747
316	0.1788513849
317	0.1786442121
318	0.1785768864
319	0.1782250784
320	0.1780155847
321	0.1777861155
322	0.1777430526
323	0.1774027315
324	0.1773269448
325	0.1771033618
326	0.1768756083
327	0.1768012238
328	0.1767023776
329	0.1764898612
330	0.1761510795
331	0.1758564642
332	0.1758345352
333	0.1755965404
334	0.1754981282
335	0.1753485679
336	0.1747472104
337	0.1746555886
338	0.1744906141
339	0.1742806048
340	0.1741880355
341	0.1738881886
342	0.1736585828
343	0.1735321026
344	0.1734128018
345	0.1732181043
346	0.1730547056
347	0.1728821966
348	0.172654766
349	0.1724736437
350	0.1721985086
351	0.1719296538
352	0.1717709037
353	0.1717351107
354	0.1715774939
355	0.1714318049
356	0.1713073181
357	0.1710208476
358	0.1707511682
359	0.1707384491
360	0.1705946795
361	0.1704849046
362	0.1703890238
363	0.1702141774
364	0.1700461786
365	0.1697941328
366	0.1696413738
367	0.1696168299
368	0.1694313827
369	0.1693807545
370	0.1692800054
371	0.1690183633
372	0.1687351466
373	0.1684771199
374	0.1683054031
375	0.1680983147
376	0.1679778655
377	0.1677869384
378	0.1673708888
379	0.1672156761
380	0.1669973717
381	0.166989124
382	0.1668378392
383	0.1667415238
384	0.1664844521
385	0.1663838903
386	0.1661719083
387	0.1661641119
388	0.1659369462
389	0.1654300776
390	0.1653004708
391	0.1651664506
392	0.1651187814
393	0.1648351189
394	0.164687904
395	0.1646819404
396	0.1645756866
397	0.1642904778
398	0.1640855612
399	0.1636624336
400	0.1633529008
401	0.1631438231
402	0.1630283318
403	0.162773065
404	0.1626257694
405	0.1624140762
406	0.1622544627
407	0.1621136172
408	0.1620257789
409	0.1617180579
410	0.1615098128
411	0.1613686154
412	0.1611594355
413	0.1610272713
414	0.1608130968
415	0.1604574455
416	0.1602830337
417	0.160138258
418	0.1599609099
419	0.1597522964
420	0.1595799371
421	0.1594822599
422	0.1592282257
423	0.1590844958
424	0.1590231736
425	0.1587808934
426	0.1586695889
427	0.158451403
428	0.1581883621
429	0.1580764762
430	0.1579461127
431	0.1578385633
432	0.1576559781
433	0.1574955722
434	0.157229942
435	0.1569900088
436	0.1566705736
437	0.1565516657
438	0.1563596972
439	0.1560523561
440	0.1560365034
441	0.1558529229
442	0.1556635067
443	0.1553345631
444	0.1551771695
445	0.1549908795
446	0.1548459636
447	0.1547045472
448	0.1545436456
449	0.1542598173
450	0.1540396017
451	0.154026164
452	0.1539176158
453	0.1535975924
454	0.1534807357
455	0.1534621302
456	0.1533789995
457	0.1532696248
458	0.1530964174
459	0.1530091118
460	0.1529289244
461	0.152728414
462	0.1523484836
463	0.1520936395
464	0.1518598122
465	0.1518540246
466	0.1515972148
467	0.1515521207
468	0.1514074438
469	0.1513956806
470	0.1512349671
471	0.1510980275
472	0.1509732578
473	0.1507026443
474	0.1506480641
475	0.150537856
476	0.1502859617
477	0.1500858845
478	0.1499044474
479	0.149897519
480	0.1497764223
481	0.1496049032
482	0.1494303194
483	0.1491890249
484	0.1489721035
485	0.1488025362
486	0.1484073864
487	0.1482765401
488	0.1480729617
489	0.1479353984
490	0.147873771
491	0.1477216154
492	0.1476335264
493	0.1474853571
494	0.1472859129
495	0.1470972842
496	0.1469692294
497	0.1465259468
498	0.1463689751
499	0.1460299086
500	0.1458729969
501	0.1458281969
502	0.1457362539
503	0.1456996896
504	0.1455324104
