iter	Passed	Remaining
0	0	586
1	1	694
2	1	672
3	2	624
4	2	593
5	2	586
6	3	559
7	3	552
8	4	565
9	4	546
10	4	553
11	5	537
12	5	540
13	6	545
14	6	550
15	7	539
16	7	532
17	7	533
18	8	538
19	8	538
20	9	539
21	9	543
22	10	559
23	11	563
24	11	564
25	12	566
26	12	567
27	13	567
28	13	572
29	14	574
30	14	565
31	14	560
32	15	561
33	15	562
34	16	556
35	16	557
36	16	551
37	17	552
38	17	551
39	18	551
40	18	552
41	19	552
42	19	552
43	20	554
44	20	551
45	21	552
46	21	549
47	22	550
48	22	551
49	22	550
50	23	549
51	23	549
52	24	549
53	24	544
54	24	541
55	25	541
56	25	537
57	26	538
58	26	540
59	27	536
60	27	533
61	27	533
62	28	535
63	28	536
64	29	532
65	29	533
66	30	532
67	30	529
68	30	528
69	31	525
70	31	525
71	31	522
72	32	521
73	32	522
74	33	522
75	33	519
76	34	518
77	34	519
78	35	520
79	35	518
80	35	518
81	36	518
82	36	518
83	37	518
84	37	519
85	38	519
86	38	518
87	39	516
88	39	517
89	40	517
90	40	516
91	41	516
92	41	514
93	41	514
94	43	522
95	43	520
96	43	520
97	44	518
98	44	518
99	44	516
100	45	514
101	45	514
102	46	514
103	46	513
104	47	513
105	47	512
106	47	510
107	48	510
108	48	510
109	49	509
110	49	509
111	49	506
112	50	505
113	50	504
114	51	503
115	51	504
116	52	502
117	52	501
118	52	500
119	53	500
120	53	498
121	54	498
122	54	498
123	54	498
124	55	498
125	55	498
126	56	496
127	56	496
128	57	496
129	57	495
130	58	494
131	58	496
132	59	496
133	59	494
134	59	493
135	60	493
136	60	493
137	61	492
138	61	491
139	62	491
140	62	491
141	63	491
142	63	490
143	63	489
144	64	489
145	64	488
146	65	489
147	65	488
148	66	488
149	66	488
150	67	487
151	67	487
152	67	486
153	68	486
154	69	486
155	69	485
156	69	484
157	70	484
158	70	484
159	71	484
160	71	484
161	72	484
162	72	483
163	73	483
164	73	483
165	74	482
166	74	482
167	75	482
168	75	482
169	76	482
170	76	482
171	77	481
172	77	482
173	78	482
174	78	482
175	79	483
176	79	483
177	80	483
178	80	483
179	81	483
180	81	483
181	82	482
182	82	481
183	83	481
184	83	480
185	84	480
186	84	479
187	85	479
188	85	479
189	86	479
190	86	477
191	86	478
192	87	478
193	88	478
194	88	477
195	88	477
196	89	477
197	89	476
198	90	477
199	91	478
200	91	476
201	92	476
202	92	476
203	93	476
204	93	476
205	94	476
206	94	476
207	95	475
208	95	475
209	96	474
210	96	474
211	97	474
212	97	473
213	97	473
214	98	472
215	98	471
216	99	470
217	99	470
218	99	469
219	100	469
220	100	468
221	101	468
222	101	467
223	102	467
224	102	466
225	103	466
226	103	465
227	103	464
228	104	463
229	104	463
230	104	462
231	105	461
232	105	461
233	106	461
234	106	460
235	107	459
236	107	459
237	108	459
238	108	459
239	109	458
240	109	457
241	110	457
242	110	456
243	110	455
244	111	454
245	111	454
246	111	453
247	112	452
248	112	451
249	113	451
250	113	450
251	113	450
252	114	449
253	114	449
254	115	449
255	116	449
256	116	448
257	116	448
258	117	448
259	117	447
260	118	447
261	118	446
262	119	446
263	119	445
264	120	445
265	120	445
266	121	445
267	121	444
268	121	443
269	122	443
270	122	443
271	123	444
272	124	444
273	124	444
274	125	443
275	125	442
276	126	442
277	126	441
278	127	441
279	127	440
280	127	439
281	128	439
282	128	438
283	129	438
284	129	438
285	130	438
286	130	438
287	131	437
288	131	437
289	132	437
290	132	436
291	133	436
292	133	435
293	133	434
294	134	434
295	134	434
296	135	433
297	135	433
298	136	432
299	136	432
300	137	432
301	137	432
302	138	431
303	138	431
304	139	431
305	139	430
306	140	430
307	140	429
308	141	429
309	141	429
310	142	428
311	142	428
