iter	Passed	Remaining
0	1	1615
1	2	1153
2	3	1009
3	3	901
4	4	809
5	4	769
6	5	760
7	7	918
8	8	957
9	9	955
10	10	907
11	10	899
12	11	907
13	12	890
14	13	857
15	13	850
16	14	830
17	14	812
18	15	804
19	16	813
20	17	816
21	18	809
22	19	807
23	19	805
24	20	786
25	21	799
26	22	801
27	23	810
28	25	840
29	26	842
30	29	933
31	31	952
32	43	1261
33	49	1395
34	60	1665
35	73	1980
36	77	2009
37	77	1972
38	78	1933
39	79	1898
40	79	1862
41	80	1827
42	80	1797
43	81	1766
44	82	1753
45	88	1828
46	90	1838
47	91	1811
48	91	1783
49	92	1765
50	93	1736
51	94	1714
52	94	1687
53	95	1665
54	95	1637
55	95	1616
56	96	1592
57	96	1571
58	97	1551
59	97	1534
60	98	1512
61	98	1495
62	99	1478
63	99	1461
64	100	1441
65	100	1426
66	101	1410
67	101	1395
68	101	1375
69	102	1361
70	102	1345
71	103	1328
72	103	1316
73	104	1304
74	104	1290
75	104	1274
76	105	1262
77	106	1253
78	106	1237
79	106	1226
80	107	1215
81	107	1203
82	107	1192
83	108	1182
84	108	1168
85	109	1161
86	110	1161
87	111	1154
88	111	1145
89	112	1134
90	112	1125
91	113	1115
92	113	1106
93	114	1099
94	114	1091
95	114	1080
96	115	1075
97	115	1067
98	116	1059
99	117	1053
100	117	1046
101	118	1039
102	118	1029
103	118	1020
104	119	1014
105	119	1007
106	120	1001
107	120	995
108	120	988
109	121	982
110	121	976
111	122	970
112	122	964
113	123	959
114	124	954
115	124	949
116	125	944
117	125	938
118	125	931
119	126	930
120	127	924
121	127	919
122	128	914
123	128	910
124	129	905
125	129	900
126	130	895
127	130	890
128	131	886
129	131	882
130	132	878
131	132	872
132	133	867
133	133	864
134	134	859
135	134	855
136	135	851
137	135	847
138	136	844
139	136	840
140	137	834
141	137	829
142	137	825
143	138	822
144	138	818
145	139	815
146	139	811
147	140	808
148	140	805
149	141	801
150	141	798
151	142	794
152	142	791
153	143	787
154	143	783
155	144	781
156	144	777
157	145	773
158	145	768
159	145	765
160	146	763
161	147	760
162	147	756
163	147	753
164	148	751
165	148	748
166	149	744
167	149	741
168	150	738
169	150	735
170	150	731
171	151	729
172	151	726
173	152	722
174	152	718
175	152	714
176	153	712
177	153	710
178	154	707
179	154	705
180	155	702
181	155	700
182	156	697
183	156	695
184	157	693
185	157	690
186	158	688
187	158	686
188	159	683
189	159	681
190	160	680
191	161	678
192	161	675
193	162	674
194	162	672
195	163	670
196	163	668
197	164	666
198	164	662
199	165	661
200	165	658
201	166	656
202	166	655
203	167	654
204	168	652
205	169	652
206	170	651
207	170	649
208	171	647
209	171	646
210	172	644
211	172	641
212	173	639
213	173	637
214	173	635
215	174	633
216	174	630
217	175	628
218	175	626
219	176	624
220	176	623
221	177	621
222	177	619
223	178	617
224	178	615
225	179	613
226	179	612
227	180	609
228	180	607
229	181	606
230	181	603
231	181	602
232	182	600
233	183	601
234	184	599
235	184	598
236	185	597
237	186	596
238	186	595
239	187	593
240	188	592
241	188	591
242	189	589
243	189	587
244	190	586
245	190	584
246	191	583
247	191	582
248	192	580
249	192	578
250	193	577
251	193	575
252	194	573
253	194	572
254	195	571
255	196	569
256	196	568
257	196	566
258	197	565
259	198	563
260	198	561
261	198	560
262	199	559
263	199	557
264	200	556
265	201	555
266	202	555
267	202	553
268	203	552
269	203	551
270	204	550
271	204	548
272	205	547
273	205	545
274	206	544
275	206	542
276	207	541
277	207	539
278	208	538
279	208	536
280	209	535
281	209	533
282	210	532
283	210	531
284	211	529
285	211	528
286	212	527
287	213	526
288	213	525
289	213	523
290	214	522
291	215	521
292	216	522
293	217	521
294	217	520
295	218	519
296	218	518
297	219	516
298	219	515
299	220	513
300	220	512
301	221	511
302	221	509
303	222	508
304	222	507
305	223	506
306	223	504
307	224	503
308	224	502
309	225	501
310	225	500
311	226	498
312	226	497
313	227	496
314	227	495
315	228	494
316	228	493
317	229	491
318	229	490
319	230	489
320	230	488
321	231	487
322	231	486
323	232	485
324	233	484
325	233	482
326	233	481
327	234	480
328	234	479
329	235	478
330	236	477
331	236	475
332	237	474
333	237	473
334	238	472
335	238	471
336	239	470
337	239	469
338	240	468
339	240	467
340	241	465
341	241	464
342	242	463
343	242	462
344	243	461
345	243	460
346	244	459
347	244	458
348	245	457
349	245	456
350	246	455
351	246	454
352	247	453
353	248	452
354	248	451
355	248	450
356	249	449
357	249	448
358	250	446
359	250	445
360	251	444
361	251	443
362	252	442
363	252	441
364	253	440
365	253	439
366	254	438
367	254	437
368	255	436
369	256	435
