iter	RMSE
0	946.1464063
1	915.9680527
2	887.1856476
3	860.4618262
4	835.8096332
5	809.4329383
6	783.2869672
7	760.276067
8	737.0142101
9	712.8596707
10	691.7418662
11	672.440649
12	651.9863868
13	632.3544979
14	614.3785062
15	596.039092
16	579.6794335
17	562.4597851
18	546.3232097
19	531.5145611
20	516.6013376
21	502.8963599
22	488.3320196
23	476.5799221
24	463.9588851
25	452.7265349
26	441.4275026
27	430.1010498
28	420.9422318
29	410.7867184
30	400.4911641
31	391.0292011
32	383.2620417
33	374.8273549
34	367.5991227
35	359.4326862
36	352.0231852
37	345.4749339
38	337.8217413
39	331.4936229
40	325.1538449
41	319.0885426
42	313.1645792
43	308.4740907
44	302.9032147
45	298.0677381
46	293.234693
47	288.2166377
48	284.4639095
49	280.1125176
50	276.1393758
51	272.2490616
52	268.9274443
53	266.0513422
54	262.6780371
55	259.392949
56	256.7128919
57	253.9968915
58	251.3515139
59	248.8344117
60	246.0979664
61	243.9620993
62	241.4055709
63	239.3995853
64	237.2179773
65	235.2489691
66	233.3212336
67	231.5901208
68	229.8770914
69	228.2671606
70	226.5478341
71	225.2234197
72	223.7410858
73	222.3258515
74	220.9999409
75	219.7773662
76	218.4600088
77	217.3504972
78	216.3616286
79	215.4136712
80	214.3065826
81	213.3328585
82	212.365975
83	211.3900722
84	210.524763
85	209.5437433
86	208.6784691
87	207.8549014
88	207.2332076
89	206.5726115
90	205.9667244
91	205.2050303
92	204.7068664
93	204.0085429
94	203.4455401
95	203.0252848
96	202.6167388
97	202.1736673
98	201.6866067
99	201.1687746
100	200.665942
101	200.2275051
102	199.8477815
103	199.3573687
104	199.0308371
105	198.5856902
106	198.185296
107	197.8666477
108	197.4949599
109	197.1209837
110	196.8805344
111	196.5556831
112	196.3215142
113	196.064635
114	195.732949
115	195.352464
116	195.0610336
117	194.6753458
118	194.3936631
119	194.1510073
120	193.9961317
121	193.714439
122	193.4151577
123	193.1292132
124	192.884404
125	192.6291708
126	192.3529469
127	192.0392062
128	191.7396386
129	191.5003839
130	191.3042748
131	191.0639823
132	190.8701091
133	190.6404799
134	190.362241
135	190.1125573
136	189.812576
137	189.626335
138	189.4029868
139	189.2191533
140	189.0651326
141	188.8613762
142	188.7660887
143	188.5815709
144	188.4482772
145	188.162189
146	187.9812265
147	187.7549559
148	187.6028619
149	187.3766337
150	187.2340978
151	187.131753
152	186.9689573
153	186.7947647
154	186.6374798
155	186.4644212
156	186.2857007
157	186.0734478
158	185.8948747
159	185.6896725
160	185.5452199
161	185.3718336
162	185.2001435
163	184.9836562
164	184.786529
165	184.6653533
166	184.5106712
167	184.3716402
168	184.2649371
169	184.0554154
170	183.9194093
171	183.7767662
172	183.6153382
173	183.4333611
174	183.2886426
175	183.1815381
176	183.0006819
177	182.8648854
178	182.6800132
179	182.4727864
180	182.2714305
181	182.1639997
182	181.9365798
183	181.8043796
184	181.6659992
185	181.5114796
186	181.3139218
187	181.1603674
188	180.9936017
189	180.7798256
190	180.6124395
191	180.4092659
192	180.2512474
193	180.1416502
194	180.0230914
195	179.9016173
196	179.7653341
197	179.6054374
198	179.4821997
199	179.307884
200	179.0827434
201	179.0014925
202	178.9064033
203	178.8147279
204	178.5845581
205	178.4770648
206	178.3593889
207	178.2603128
208	178.1304202
209	177.9810528
210	177.8237773
211	177.7095181
212	177.6171086
213	177.4638789
214	177.3140924
215	177.1430542
216	177.0344605
217	176.8963936
218	176.7897809
219	176.6881515
220	176.5844758
221	176.4704275
222	176.3503058
223	176.266604
224	176.1654326
225	175.9500364
226	175.8800229
227	175.6955542
228	175.5692681
229	175.4558846
230	175.3222874
231	175.1934993
232	175.0315515
233	174.9316176
234	174.765204
235	174.6679453
236	174.6109178
237	174.4685372
238	174.3339113
239	174.2833719
240	174.1548212
241	173.9804992
242	173.873531
243	173.7521183
244	173.636716
245	173.5177106
246	173.3563694
247	173.2738851
248	173.0942475
249	172.9772741
250	172.8355144
251	172.6803362
252	172.5858392
253	172.4440808
254	172.3498514
255	172.2189439
256	172.0785689
257	171.8922385
258	171.725187
259	171.6541438
260	171.5579558
261	171.3756774
262	171.2039281
263	171.0828791
264	170.9483864
265	170.8302785
266	170.7009727
267	170.5266147
268	170.3325573
269	170.1364879
270	170.027368
271	169.92915
272	169.8144481
273	169.6903426
274	169.5074617
275	169.4291041
276	169.3257715
277	169.1557107
278	169.0819398
279	168.9869863
