iter	Passed	Remaining
0	1	1245
1	1	997
2	2	934
3	3	923
4	4	935
5	5	923
6	6	907
7	7	899
8	8	883
9	8	862
10	9	852
11	11	917
12	12	928
13	13	946
14	14	941
15	15	948
16	16	947
17	17	941
18	18	933
19	18	927
20	19	921
21	20	917
22	21	912
23	22	914
24	23	910
25	24	910
26	25	905
27	26	910
28	27	915
29	28	909
30	28	903
31	29	898
32	30	894
33	31	891
34	32	884
35	32	872
36	33	861
37	33	853
38	34	842
39	34	832
40	35	821
41	35	811
42	36	802
43	36	793
44	36	783
45	37	776
46	38	771
47	38	765
48	39	759
49	39	752
50	40	746
51	40	741
52	41	738
53	42	738
54	42	738
55	43	736
56	44	731
57	44	725
58	45	720
59	45	716
60	46	710
61	46	706
62	47	700
63	47	695
64	48	690
65	48	686
66	48	681
67	49	676
68	49	671
69	50	668
70	50	662
71	51	657
72	51	652
73	51	650
74	52	646
75	53	651
76	54	648
77	54	646
78	55	642
79	55	640
80	56	637
81	56	633
82	57	630
83	57	629
84	58	627
85	58	625
86	59	623
87	59	620
88	60	616
89	60	613
90	61	610
91	61	607
92	62	605
93	62	602
94	62	599
95	63	596
96	63	594
97	64	592
98	64	590
99	65	587
100	65	584
101	66	581
102	66	578
103	66	576
104	67	574
105	67	571
106	68	568
107	68	566
108	68	563
109	69	561
110	69	558
111	70	555
112	70	553
113	70	551
114	71	550
115	73	561
116	74	561
117	75	562
118	76	562
119	76	564
120	77	565
121	78	563
122	78	562
123	79	560
124	79	559
125	80	557
126	81	557
127	81	557
128	82	556
129	82	555
130	83	554
131	84	553
132	84	553
133	85	552
134	86	552
135	86	552
136	87	552
137	88	553
138	89	553
139	90	554
140	91	555
141	91	555
142	92	555
143	93	556
144	94	556
145	95	555
146	95	555
147	96	555
148	97	554
149	97	553
150	98	552
151	98	550
152	99	549
153	99	547
154	100	547
155	100	545
156	101	544
157	102	543
158	102	542
159	103	541
160	103	540
161	104	541
162	105	540
163	105	539
164	106	538
165	107	537
166	107	537
167	108	537
168	109	536
169	109	536
170	110	535
171	111	534
172	111	534
173	112	532
174	112	530
175	113	529
176	113	528
177	114	526
178	114	525
179	115	524
180	115	522
181	116	521
182	116	520
183	117	520
184	117	519
185	118	518
186	119	517
187	119	516
188	120	516
189	121	519
190	122	518
191	123	518
192	123	517
193	124	516
194	124	515
195	125	514
196	125	512
197	126	510
198	126	509
199	127	508
200	127	506
201	127	505
202	128	503
203	128	502
204	129	501
205	129	499
206	130	498
207	130	496
208	130	495
209	131	495
210	132	493
211	132	492
212	132	490
213	133	489
214	133	487
215	133	486
216	134	485
217	134	483
218	135	482
219	136	482
220	136	481
221	136	480
222	137	478
223	137	477
224	138	476
225	138	475
226	139	474
227	139	473
228	140	471
229	140	470
230	140	469
231	141	467
232	141	466
233	142	465
234	142	464
235	143	463
236	143	462
237	144	461
238	144	460
239	144	459
240	145	457
241	145	456
242	146	455
243	146	454
244	147	453
245	147	452
246	148	451
247	148	450
248	148	449
249	149	447
250	149	446
251	150	445
252	150	444
253	151	443
254	151	443
255	152	442
256	152	441
257	153	440
258	153	439
259	153	438
260	154	436
261	154	435
262	155	434
263	155	433
264	156	432
265	156	432
266	157	431
267	157	430
268	158	430
269	159	430
270	159	429
271	160	429
272	160	428
273	161	427
274	161	426
275	162	425
276	162	424
277	163	423
278	163	422
279	163	421
280	164	420
281	164	419
282	164	418
283	165	416
284	165	415
285	166	414
286	166	413
287	167	413
288	167	412
289	168	411
290	168	411
291	169	410
292	169	409
293	169	408
294	170	407
295	171	406
296	171	406
297	171	405
298	172	403
299	172	403
300	173	402
301	173	401
302	173	400
303	174	399
304	174	398
305	175	397
306	175	397
307	176	396
308	176	395
309	177	394
310	177	393
311	178	393
312	178	392
313	179	391
314	179	390
315	180	389
316	180	388
317	181	388
318	181	387
319	182	387
320	182	386
321	183	386
322	184	386
323	184	385
324	185	385
325	186	384
326	186	384
327	187	383
328	187	382
329	187	381
330	188	381
331	189	381
332	190	380
333	190	379
334	190	379
335	191	378
336	191	377
337	192	376
338	192	376
339	193	375
340	193	374
341	194	373
342	194	372
343	194	371
344	195	371
345	196	370
346	196	370
347	197	369
348	197	368
349	198	367
350	198	366
351	198	366
352	199	365
353	200	365
354	200	364
355	201	363
356	202	363
357	202	363
358	203	363
359	203	362
360	204	362
361	205	362
362	206	361
363	206	361
364	207	360
365	207	359
366	208	359
367	208	358
368	209	357
369	209	356
370	209	355
371	210	355
372	210	354
373	211	353
374	211	352
375	212	352
376	212	351
377	213	350
378	213	350
379	214	349
380	214	348
381	215	348
382	215	347
383	216	347
384	217	346
385	217	346
386	218	346
387	218	345
388	219	344
389	219	343
390	220	343
391	220	342
392	221	341
393	221	341
394	222	340
395	222	339
396	223	339
397	223	338
398	224	337
399	224	337
400	225	336
401	225	335
402	226	334
403	226	333
404	226	333
405	227	332
406	227	331
407	228	331
408	228	330
409	228	329
410	229	328
411	229	328
412	230	327
413	230	326
414	231	326
415	232	326
416	233	326
417	233	325
418	234	325
419	235	325
420	236	324
421	236	324
422	237	323
423	237	323
424	238	322
425	238	321
426	239	321
427	240	320
428	240	320
429	241	320
430	242	319
431	242	318
432	243	318
433	243	317
434	244	317
435	244	316
436	245	315
437	245	315
438	246	315
439	247	314
440	247	314
441	248	313
442	248	312
443	249	312
444	250	311
445	250	311
446	251	310
447	251	310
448	252	309
449	252	309
450	253	308
451	254	308
452	254	307
453	255	306
454	255	306
455	256	305
456	257	305
457	257	304
458	258	304
459	258	303
460	259	303
461	259	302
462	260	301
463	260	301
464	261	300
465	262	300
466	263	300
467	263	299
468	264	299
469	265	298
470	265	298
471	266	297
472	266	297
473	267	296
474	268	296
475	268	295
476	269	295
477	269	294
478	270	294
479	271	293
480	271	293
481	272	292
482	272	291
483	273	291
484	273	290
485	274	290
486	274	289
487	275	289
488	276	288
489	276	288
490	277	287
491	277	286
492	278	286
493	279	286
494	279	285
495	280	285
496	281	284
497	282	284
498	282	283
499	283	283
500	283	282
501	284	282
502	285	281
503	285	281
504	286	280
505	286	280
506	287	279
507	287	278
508	288	278
509	289	277
510	289	277
511	290	276
512	290	275
513	291	275
514	291	274
515	292	274
516	292	273
517	293	273
518	294	272
519	294	272
520	295	271
521	296	271
522	296	270
523	297	270
524	298	269
525	298	269
526	299	268
527	299	267
528	300	267
529	300	266
530	301	266
531	301	265
532	302	265
533	303	264
534	303	263
535	304	263
536	304	262
537	305	262
538	305	261
539	306	260
540	306	260
541	307	259
542	308	259
543	308	258
544	309	258
545	309	257
546	310	257
547	311	256
548	312	256
549	312	255
550	313	255
551	313	254
552	314	254
553	314	253
554	315	252
555	316	252
556	316	251
557	317	251
558	317	250
559	318	250
560	318	249
561	319	248
562	319	248
563	320	247
564	321	247
565	321	246
566	322	245
567	322	245
568	323	244
569	323	244
570	324	243
571	324	242
572	325	242
573	325	241
574	326	241
575	327	240
576	327	240
577	328	239
578	328	239
579	329	238
580	330	238
581	330	237
582	331	236
583	331	236
584	332	235
585	332	235
586	333	234
587	333	233
588	334	233
589	334	232
590	335	232
591	336	231
592	336	231
593	337	230
594	337	229
595	338	229
596	338	228
597	339	228
598	339	227
599	340	227
600	341	226
601	341	225
602	342	225
603	343	224
604	343	224
605	344	223
606	344	223
607	345	222
608	345	222
609	346	221
610	347	220
611	347	220
612	348	219
613	348	219
614	349	218
615	350	218
616	350	217
617	351	217
618	351	216
619	352	216
620	353	215
621	353	214
622	354	214
623	354	213
624	355	213
625	355	212
626	356	211
627	356	211
628	357	210
629	358	210
630	358	209
631	359	209
632	359	208
633	360	208
634	361	207
635	361	206
636	362	206
637	362	205
638	363	205
639	363	204
640	364	204
641	365	203
642	365	203
643	366	202
644	366	201
645	367	201
646	367	200
647	368	200
648	368	199
649	369	198
650	370	198
651	370	197
652	371	197
653	371	196
654	372	196
655	372	195
656	373	194
657	373	194
658	374	193
659	375	193
660	375	192
661	376	192
662	376	191
663	377	191
664	378	190
665	378	189
666	379	189
667	379	188
668	380	188
669	381	187
670	381	187
671	382	186
672	382	186
673	383	185
674	384	184
675	384	184
676	385	183
677	385	183
678	385	182
679	386	181
680	386	181
681	387	180
682	387	179
683	388	179
684	388	178
685	388	178
686	389	177
687	389	176
688	390	176
689	390	175
690	391	175
691	391	174
692	392	173
693	392	173
694	393	172
695	393	171
696	394	171
697	394	170
698	395	170
699	395	169
700	396	169
701	397	168
702	397	167
703	398	167
704	398	166
705	398	166
706	399	165
707	399	164
708	400	164
709	400	163
710	401	163
711	401	162
712	402	161
713	402	161
714	403	160
715	403	160
716	403	159
717	404	158
718	404	158
719	405	157
720	405	157
721	406	156
722	407	155
723	407	155
724	408	154
725	408	154
726	409	153
727	409	152
728	409	152
729	410	151
730	410	151
731	411	150
732	411	149
733	412	149
734	412	148
735	413	148
736	413	147
737	413	146
738	414	146
739	414	145
740	415	145
741	415	144
742	416	143
743	416	143
744	416	142
745	417	142
746	417	141
747	418	140
748	418	140
749	419	139
750	419	139
751	419	138
752	420	137
753	420	137
754	421	136
755	421	136
756	422	135
757	422	134
758	423	134
759	423	133
760	424	133
761	424	132
762	424	131
763	425	131
764	425	130
765	426	130
766	426	129
767	427	129
768	427	128
769	428	127
770	428	127
771	428	126
772	429	126
773	429	125
774	430	124
775	430	124
776	431	123
777	431	123
778	431	122
779	432	121
780	432	121
781	433	120
782	433	120
783	434	119
784	434	118
785	435	118
786	435	117
787	435	117
788	436	116
789	436	116
790	437	115
791	437	114
792	438	114
793	438	113
794	438	113
795	439	112
796	439	112
797	440	111
798	440	110
799	441	110
800	441	109
801	442	109
802	442	108
803	443	108
804	443	107
805	444	106
806	444	106
807	444	105
808	445	105
809	445	104
810	446	104
811	446	103
812	447	102
813	447	102
814	448	101
815	448	101
816	449	100
817	449	100
818	450	99
819	450	98
820	450	98
821	451	97
822	451	97
823	452	96
824	452	96
