iter	MultiClass
0	1.096350436
1	1.093908209
2	1.091523442
3	1.089152116
4	1.086770462
5	1.084424914
6	1.082051395
7	1.079703409
8	1.077351028
9	1.075073488
10	1.072835152
11	1.07058329
12	1.068277327
13	1.065986479
14	1.063751539
15	1.061577477
16	1.059340074
17	1.057129107
18	1.054981953
19	1.052827231
20	1.050645443
21	1.048524954
22	1.046394447
23	1.044278109
24	1.042168474
25	1.040124537
26	1.038010136
27	1.035920174
28	1.033857872
29	1.031843
30	1.029849853
31	1.027823583
32	1.025806689
33	1.023746247
34	1.021737902
35	1.01974815
36	1.017784509
37	1.015799666
38	1.013881498
39	1.011909377
40	1.010014613
41	1.008096626
42	1.006218603
43	1.004338345
44	1.002410388
45	1.000504021
46	0.9986004095
47	0.9967471032
48	0.9948667213
49	0.9930149737
50	0.9911653617
51	0.9892789412
52	0.9874737526
53	0.9856062638
54	0.9838430041
55	0.9820864594
56	0.9802897465
57	0.9785996776
58	0.976835345
59	0.975096713
60	0.9733716064
61	0.9716349779
62	0.9699089809
63	0.9681576844
64	0.9664529226
65	0.9647369377
66	0.9630416397
67	0.9613326025
68	0.9596069805
69	0.9579354841
70	0.9562511174
71	0.954544378
72	0.9528987352
73	0.9512408666
74	0.9496063632
75	0.9479748655
76	0.9463387635
77	0.9447093286
78	0.9431307623
79	0.9414990441
80	0.9398898481
81	0.9383283064
82	0.9368437637
83	0.9352402311
84	0.9336747927
85	0.9321149602
86	0.9305748298
87	0.9290710352
88	0.9275604056
89	0.9260249335
90	0.9245164467
91	0.9229919563
92	0.9214698921
93	0.9200624729
94	0.9185631996
95	0.9171511617
96	0.9156460382
97	0.9142669219
98	0.9128001387
99	0.911339936
100	0.9098806906
101	0.9084087648
102	0.9069569103
103	0.9055283733
104	0.9041598646
105	0.902764277
106	0.9013697638
107	0.9000156241
108	0.8986131636
109	0.8972172001
110	0.895789121
111	0.8943802372
112	0.8930555494
113	0.8916773592
114	0.8903378696
115	0.8889606611
116	0.8876686298
117	0.8863124569
118	0.8849651201
119	0.8836078711
120	0.8822693519
121	0.8809262948
122	0.8796536235
123	0.8783241476
124	0.8769926532
125	0.8756668302
126	0.8743898045
127	0.8731354468
128	0.8718387586
129	0.8705448445
130	0.8692812871
131	0.868060644
132	0.8667995772
133	0.8656070917
134	0.8643369612
135	0.863080912
136	0.861835235
137	0.8605938124
138	0.859376699
139	0.8581521609
140	0.8568942543
141	0.8556868574
142	0.8544592058
143	0.8532367984
144	0.8520639071
145	0.8509018338
146	0.8497476239
147	0.8485474654
148	0.8473698693
149	0.8462088368
150	0.8450841833
151	0.8438926019
152	0.8427697666
153	0.8416906232
154	0.8405702867
155	0.8394058309
156	0.8382962807
157	0.837138578
158	0.8359772975
159	0.8348125106
160	0.8336639006
161	0.8325773561
162	0.8315184235
163	0.8303983153
164	0.8293463222
165	0.8282299645
166	0.827169496
167	0.8260732982
168	0.8249765341
169	0.8238624521
170	0.8227487364
171	0.8216488646
172	0.8205947748
173	0.8195783407
174	0.8185250587
175	0.8174877667
176	0.8164096313
177	0.8153917943
178	0.8143270481
179	0.8133275333
180	0.8123160975
181	0.8113260834
182	0.8102660501
183	0.8092380178
184	0.8082242741
185	0.8071918037
186	0.8061670203
187	0.8051265583
188	0.8041078413
189	0.8031513869
190	0.8021386771
191	0.8012029789
192	0.8002078968
193	0.7991698455
194	0.7981942677
