iter	Passed	Remaining
0	0	1714
1	1	1616
2	2	1666
3	3	1617
4	4	1581
5	5	1566
6	6	1597
7	7	1604
8	8	1600
9	9	1604
10	10	1594
11	11	1606
12	12	1621
13	13	1619
14	14	1621
15	15	1622
16	16	1631
17	17	1635
18	18	1657
19	19	1653
20	20	1684
21	21	1720
22	22	1709
23	23	1684
24	24	1666
25	24	1649
26	25	1637
27	26	1621
28	27	1607
29	27	1592
30	28	1588
31	29	1578
32	30	1568
33	30	1557
34	31	1545
35	32	1534
36	32	1523
37	33	1514
38	34	1504
39	35	1495
40	35	1489
41	36	1482
42	37	1473
43	37	1466
44	38	1459
45	39	1454
46	40	1450
47	40	1443
48	41	1437
49	42	1431
50	42	1426
51	43	1421
52	44	1416
53	45	1412
54	45	1405
55	46	1400
56	47	1395
57	47	1390
58	48	1386
59	49	1383
60	49	1379
61	50	1373
62	51	1370
63	51	1365
64	52	1360
65	53	1356
66	53	1351
67	54	1346
68	55	1346
69	56	1342
70	56	1339
71	57	1336
72	58	1332
73	58	1329
74	59	1325
75	60	1322
76	60	1319
77	61	1316
78	62	1315
79	63	1313
80	63	1313
81	64	1313
82	65	1311
83	66	1310
84	67	1308
85	68	1311
86	68	1309
87	69	1308
88	70	1305
89	70	1302
90	71	1299
91	72	1296
92	72	1294
93	73	1293
94	74	1290
95	75	1289
96	75	1287
97	76	1284
98	77	1282
99	77	1280
100	78	1279
101	79	1278
102	80	1276
103	80	1274
104	81	1272
105	82	1271
106	82	1269
107	83	1268
108	84	1265
109	84	1262
110	85	1261
111	86	1261
112	87	1259
113	87	1257
114	88	1255
115	89	1255
116	90	1256
117	90	1253
118	91	1251
119	92	1249
120	93	1248
121	93	1246
122	94	1243
123	95	1243
124	95	1243
125	96	1241
126	97	1241
127	98	1239
128	98	1239
129	99	1238
130	100	1237
131	101	1235
132	101	1234
133	102	1232
134	103	1231
135	103	1229
136	104	1229
137	105	1230
138	106	1228
139	106	1226
140	107	1225
141	108	1223
142	109	1223
143	109	1221
144	110	1221
145	111	1219
146	112	1218
147	112	1216
148	113	1215
149	114	1214
150	114	1213
151	115	1212
152	116	1211
153	117	1210
154	117	1208
155	118	1208
156	119	1208
157	120	1206
158	120	1205
159	121	1204
160	122	1203
161	123	1202
162	123	1201
163	124	1200
164	125	1198
165	125	1197
166	126	1196
167	127	1194
168	127	1193
169	128	1191
170	129	1190
171	130	1190
172	130	1188
173	131	1187
174	132	1186
175	132	1185
176	133	1183
177	134	1182
178	135	1181
179	135	1180
180	136	1179
181	137	1177
182	137	1176
183	138	1175
184	139	1174
185	140	1173
186	140	1173
187	141	1172
188	142	1171
189	143	1170
190	143	1170
191	144	1170
192	145	1169
193	146	1168
194	146	1167
195	147	1166
196	148	1165
197	149	1164
198	149	1163
199	150	1162
200	151	1161
201	151	1160
202	152	1159
203	153	1158
204	154	1157
205	154	1155
206	155	1155
207	156	1154
208	156	1153
209	157	1152
210	158	1151
211	159	1150
212	159	1149
213	160	1148
214	161	1147
215	161	1146
216	162	1144
217	163	1143
218	164	1142
219	164	1141
220	165	1141
221	166	1141
222	167	1140
223	167	1139
224	168	1138
225	169	1137
226	170	1141
227	171	1140
228	172	1139
229	173	1140
230	173	1139
231	174	1138
232	175	1138
233	176	1137
234	176	1136
235	177	1136
236	178	1135
237	179	1134
238	179	1132
239	180	1132
240	181	1130
241	181	1129
242	182	1128
243	183	1128
244	184	1127
245	184	1126
246	185	1125
247	186	1124
248	187	1123
249	187	1122
250	188	1121
251	189	1119
252	189	1118
253	190	1118
254	191	1117
255	191	1115
256	192	1114
257	193	1114
258	194	1113
259	194	1112
260	195	1111
261	196	1110
262	196	1109
263	197	1108
264	198	1107
265	198	1106
266	199	1105
267	200	1104
268	201	1103
269	201	1102
270	202	1100
271	203	1099
272	203	1098
273	204	1098
274	205	1097
275	206	1096
276	206	1096
277	207	1095
278	208	1094
279	208	1093
280	209	1092
281	210	1091
282	211	1090
283	211	1089
284	212	1088
285	213	1088
286	214	1087
287	214	1087
288	215	1085
289	216	1084
290	217	1084
291	217	1083
292	218	1083
293	219	1082
294	219	1081
295	220	1080
296	221	1079
297	222	1079
298	222	1078
299	223	1077
300	224	1076
301	225	1076
302	225	1075
303	226	1074
304	227	1073
305	228	1072
306	228	1071
307	229	1070
308	230	1069
309	230	1068
310	231	1067
311	232	1066
312	232	1064
313	233	1063
314	234	1062
315	234	1062
316	235	1061
317	236	1060
318	237	1059
319	237	1059
320	238	1058
321	239	1057
322	240	1056
323	240	1056
324	241	1055
325	242	1054
326	243	1054
327	243	1053
328	244	1052
329	245	1051
330	245	1050
331	246	1049
332	247	1048
333	248	1047
334	248	1047
335	249	1046
336	250	1045
337	251	1044
338	251	1043
339	252	1043
340	253	1042
341	253	1041
342	254	1040
343	255	1040
344	256	1039
345	257	1039
346	257	1038
347	258	1037
348	259	1036
349	259	1035
350	260	1034
351	261	1033
352	261	1032
353	262	1031
354	263	1030
355	264	1030
356	264	1030
357	265	1029
358	266	1028
359	267	1027
360	267	1026
361	268	1025
362	269	1025
363	269	1024
364	270	1023
365	271	1022
366	272	1021
367	272	1020
368	273	1019
369	274	1019
370	274	1018
371	275	1017
372	276	1016
373	276	1015
374	277	1014
375	278	1013
376	279	1012
377	279	1011
378	280	1010
379	281	1009
380	281	1009
381	282	1008
382	283	1007
383	283	1006
384	284	1005
385	285	1004
386	286	1003
387	286	1003
388	287	1002
389	288	1001
390	289	1000
391	289	1000
392	290	999
393	291	998
394	291	997
395	292	997
396	293	996
397	294	995
398	294	994
399	295	993
400	296	992
401	296	992
402	297	991
403	298	990
404	299	989
405	299	988
406	300	987
407	301	987
408	301	986
409	302	985
410	303	984
411	304	983
412	304	983
413	305	982
414	306	981
415	307	981
416	307	980
417	308	979
418	309	978
419	310	978
420	310	977
421	311	976
422	312	975
423	312	975
424	313	974
425	314	974
426	315	973
427	315	972
428	316	971
429	317	970
430	318	969
431	319	969
432	319	969
433	320	968
434	321	967
435	322	966
436	322	966
437	323	965
438	324	965
439	325	964
440	325	963
441	326	962
442	327	961
443	328	961
444	328	960
445	329	959
446	330	958
447	330	958
448	331	957
449	332	956
450	333	955
451	333	955
452	334	954
453	335	953
454	336	952
455	336	951
456	337	951
457	338	950
458	338	949
459	339	948
460	340	947
461	340	946
462	341	946
463	342	945
464	343	944
465	343	943
466	344	943
467	345	942
468	346	941
469	346	940
470	347	939
471	348	938
472	348	938
473	349	938
474	350	937
475	351	936
476	352	935
477	352	935
478	353	934
479	354	933
480	355	932
481	355	932
482	356	931
483	357	930
484	357	929
485	358	928
486	359	927
487	360	927
488	360	926
489	361	925
490	362	925
491	362	924
492	363	923
493	364	922
494	365	921
495	365	921
496	366	920
497	367	919
498	368	919
499	368	918
500	369	917
501	370	917
502	371	916
503	371	915
504	372	915
505	373	914
506	374	913
507	374	912
508	375	912
509	376	911
510	377	910
511	377	909
512	378	909
513	379	908
514	379	907
515	380	906
516	381	905
517	382	905
518	382	904
519	383	903
520	384	903
521	385	902
522	385	901
523	386	901
524	387	900
525	388	899
526	388	898
527	389	897
528	390	897
529	390	896
530	391	895
531	392	894
532	393	893
533	393	893
534	394	892
535	395	891
536	395	890
537	396	889
538	397	888
539	398	888
540	398	887
541	399	886
542	400	885
543	400	885
544	401	884
545	402	883
546	402	882
547	403	881
548	404	880
549	405	880
550	405	879
551	406	878
552	407	878
553	408	877
554	408	876
555	409	875
556	410	874
557	410	874
558	411	873
559	412	872
560	412	871
561	413	870
562	414	870
563	415	869
564	415	868
565	416	867
566	417	867
567	418	866
568	418	865
569	419	865
570	420	864
571	421	863
572	421	862
573	422	861
574	423	861
575	423	860
576	424	859
577	425	858
578	426	858
579	426	857
580	427	856
581	428	855
582	429	855
583	429	854
584	430	853
585	431	852
586	432	852
587	432	851
588	433	850
589	434	850
590	435	849
591	435	848
592	436	847
593	437	847
594	437	846
595	438	845
596	439	844
597	439	843
598	440	842
599	441	842
600	442	841
601	442	840
602	443	839
603	444	839
604	444	838
605	445	837
606	446	837
607	447	836
608	447	835
609	448	834
610	449	833
611	450	833
612	450	832
613	451	831
614	452	831
615	452	830
616	453	829
617	454	829
618	455	828
619	455	827
620	456	826
621	457	825
622	458	825
623	458	824
624	459	823
625	460	822
626	461	822
627	461	821
628	462	820
629	463	819
630	463	819
631	464	818
632	465	817
633	466	816
634	466	815
635	467	815
636	468	814
637	468	813
638	469	812
639	470	812
640	471	811
641	471	810
642	472	810
643	473	809
644	474	808
645	474	807
646	475	807
647	476	806
648	477	805
649	477	804
650	478	804
651	479	803
652	480	802
653	480	802
654	481	801
655	482	800
656	482	799
657	483	798
658	484	798
659	485	797
660	486	797
661	486	796
662	487	795
663	488	794
664	488	794
665	489	793
666	490	792
667	491	791
668	491	790
669	492	790
670	493	789
671	493	788
672	494	788
673	495	787
674	496	786
675	497	786
676	497	785
677	498	784
678	499	783
679	500	783
680	500	782
681	501	781
682	502	780
683	502	780
684	503	779
685	504	778
686	505	777
687	505	777
688	506	776
689	507	775
690	507	774
691	508	773
692	509	773
693	510	772
694	510	771
695	511	770
696	512	769
697	512	769
698	513	768
699	514	767
700	514	766
701	515	766
702	516	765
703	517	764
704	517	763
705	518	762
706	519	762
707	520	761
708	520	760
709	521	760
710	522	759
711	522	758
712	523	757
713	524	756
714	524	756
715	525	755
716	526	754
717	526	753
718	527	752
719	528	752
720	529	751
721	529	750
722	530	750
723	531	749
724	532	748
725	532	747
726	533	747
727	534	746
728	534	745
729	535	744
730	536	743
731	536	743
732	537	742
733	538	741
734	539	740
735	539	740
736	540	739
737	541	738
738	541	737
739	542	736
740	543	736
741	544	735
742	544	734
743	545	734
744	546	733
745	547	732
746	547	731
747	548	731
748	549	730
749	549	729
750	550	728
751	551	727
752	552	727
753	552	726
754	553	725
755	554	724
756	554	724
757	555	723
758	556	722
759	557	721
760	557	721
761	558	720
762	559	719
763	559	718
764	560	718
765	561	717
766	562	716
767	562	715
768	563	715
769	564	714
770	565	713
771	565	713
772	566	712
773	567	711
774	568	710
775	568	710
776	569	709
777	570	708
778	570	708
779	571	707
780	572	706
781	573	705
782	573	705
783	574	704
784	575	703
785	576	703
786	577	702
787	577	701
788	578	701
789	579	700
790	580	699
791	580	698
792	581	697
793	581	697
794	582	696
795	583	695
796	584	694
797	584	694
798	585	693
799	586	692
800	587	691
801	587	691
802	588	690
803	589	689
804	589	688
805	590	688
806	591	687
807	592	686
808	592	685
809	593	685
810	594	684
811	595	683
812	595	682
813	596	682
814	597	681
815	597	680
816	598	679
817	599	678
818	599	678
819	600	677
820	601	676
821	601	675
822	602	674
823	603	674
824	603	673
825	604	672
826	605	672
827	606	671
828	607	670
829	607	670
830	608	669
831	609	668
832	609	667
833	610	667
