iter	RMSE
0	11737.54019
1	11413.81929
2	11073.13936
3	10746.67707
4	10426.68576
5	10162.31097
6	9941.473958
7	9696.038584
8	9432.752924
9	9173.621854
10	8959.025211
11	8730.870461
12	8514.354726
13	8303.753809
14	8111.645705
15	7928.630619
16	7741.524294
17	7552.15097
18	7392.657736
19	7238.150081
20	7075.6717
21	6919.653776
22	6774.499604
23	6659.118396
24	6571.153827
25	6448.612954
26	6334.122795
27	6218.077884
28	6133.947049
29	6025.674548
30	5925.843578
31	5838.21809
32	5753.868678
33	5672.922746
34	5601.506353
35	5543.876693
36	5475.103891
37	5413.011022
38	5347.787779
39	5286.143395
40	5233.328406
41	5188.806547
42	5139.161082
43	5094.212027
44	5048.668964
45	5004.212432
46	4968.811011
47	4929.074608
48	4892.495997
49	4854.075159
50	4824.141498
51	4794.856061
52	4773.823605
53	4739.833572
54	4719.890264
55	4689.130941
56	4667.445006
57	4641.596544
58	4616.225184
59	4593.472397
60	4579.500486
61	4557.972588
62	4539.929152
63	4521.380633
64	4509.86649
65	4493.699868
66	4477.826523
67	4463.150272
68	4457.7326
69	4441.920223
70	4431.076106
71	4426.728827
72	4415.925846
73	4404.008455
74	4396.524216
75	4392.996303
76	4380.575694
77	4368.760117
78	4365.721877
79	4359.511553
80	4344.143274
81	4341.317597
82	4333.766626
83	4323.616337
84	4321.285683
85	4312.115562
86	4301.132906
87	4296.603259
88	4288.075185
89	4281.840068
90	4274.637053
91	4264.708479
92	4257.485198
93	4250.505796
94	4242.68977
95	4238.629908
96	4233.699644
97	4229.029414
98	4223.677535
99	4218.39766
100	4213.939389
101	4208.554544
102	4207.212179
103	4205.972226
104	4202.226992
105	4197.116717
106	4193.325393
107	4190.640783
108	4189.058826
109	4186.001272
110	4184.807937
111	4180.033769
112	4176.867927
113	4170.742289
114	4166.250647
115	4162.600583
116	4160.312991
117	4158.971591
118	4157.416862
119	4156.910635
120	4150.893861
121	4147.178077
122	4143.446936
123	4139.397313
124	4137.229872
125	4134.590143
126	4131.105126
127	4127.496555
128	4123.326062
129	4120.993938
130	4117.524549
131	4116.132955
132	4110.213845
133	4106.745003
134	4105.34602
135	4102.48781
136	4098.878802
137	4096.183091
138	4093.472496
139	4090.916312
140	4090.829396
141	4089.834951
142	4084.239033
143	4081.637534
144	4078.90724
145	4076.9015
146	4069.303535
147	4065.002082
148	4062.454432
149	4061.039623
150	4058.730554
151	4054.509635
152	4052.081708
153	4049.796518
154	4047.147268
155	4044.659443
156	4040.334706
157	4040.010453
158	4039.475499
159	4037.146918
160	4035.305358
161	4032.945854
162	4032.764407
163	4030.678308
164	4027.811383
165	4026.02658
166	4024.52672
167	4022.69426
168	4021.81614
169	4020.692384
170	4019.27991
171	4016.543943
172	4015.562416
173	4014.723058
174	4013.757775
175	4013.518609
176	4011.510772
177	4010.146107
178	4006.026125
179	4004.432169
180	4001.917197
181	3999.401724
182	3995.899544
183	3994.510617
184	3992.410344
185	3988.852524
186	3986.125233
187	3984.471162
188	3983.50425
189	3978.812105
190	3974.199026
191	3972.204891
192	3969.150099
193	3967.784427
194	3965.606201
195	3960.1622
196	3957.944595
197	3956.606121
198	3956.577526
199	3954.660994
200	3948.369985
201	3942.828271
202	3941.507545
203	3938.598836
204	3937.689824
205	3935.856251
206	3935.45527
207	3932.852214
208	3931.975166
209	3931.038858
210	3927.490645
211	3927.109766
212	3923.92649
213	3923.302112
214	3921.749124
215	3920.313347
216	3919.972454
217	3918.456342
218	3916.933386
219	3915.478157
220	3911.689973
221	3909.088172
222	3906.51131
223	3905.961776
224	3904.292656
225	3901.957466
226	3900.060806
227	3899.729862
228	3897.6561
229	3896.793204
230	3896.468368
231	3894.805997
232	3891.540225
233	3886.235477
234	3885.476835
235	3879.19531
236	3875.194079
237	3874.253758
238	3871.872996
239	3870.766871
240	3870.172606
241	3866.973122
242	3864.676909
243	3863.829075
244	3858.519746
245	3857.845023
246	3852.592997
247	3847.511268
248	3846.146144
249	3838.707853
250	3837.021186
251	3834.16009
252	3832.235842
253	3831.542963
254	3826.88312
255	3825.703516
256	3824.295156
257	3823.094446
258	3822.039962
259	3818.43096
260	3817.457866
261	3815.877883
262	3815.209883
263	3811.012586
264	3806.083822
265	3804.897942
266	3804.53135
267	3802.710824
268	3799.962918
269	3798.025278
270	3794.427262
271	3793.543925
272	3792.749639
273	3792.12323
274	3788.835434
275	3785.365599
276	3782.785586
277	3778.676587
278	3777.730856
279	3771.120589
280	3766.827296
281	3761.406948
282	3758.415529
283	3757.893601
284	3755.71605
285	3754.01347
286	3752.333321
287	3751.304486
288	3750.968825
289	3750.084671
290	3745.918792
291	3744.782061
292	3741.43854
293	3740.446971
294	3739.340093
295	3738.660106
296	3736.177893
297	3735.816546
298	3735.531605
299	3734.434991
300	3733.778295
301	3732.915581
302	3729.410345
303	3726.07515
304	3724.127405
305	3720.359303
306	3720.012706
307	3718.713678
308	3718.398031
309	3717.273607
310	3716.075733
311	3715.878486
312	3714.885199
313	3711.569463
314	3710.788546
315	3709.450284
316	3705.559653
317	3702.07624
318	3701.509152
319	3700.991269
320	3700.174539
321	3695.393446
322	3693.251453
323	3690.723907
324	3688.310192
325	3683.798918
326	3680.85501
327	3678.211601
328	3676.711487
329	3675.38674
330	3675.049647
331	3673.749433
332	3669.583331
333	3666.147741
334	3664.81328
335	3664.409321
336	3662.801585
337	3660.848839
338	3660.002346
339	3659.739385
340	3658.106612
341	3657.678297
342	3656.01358
343	3655.219492
344	3653.378999
345	3652.583137
346	3651.766954
347	3649.631428
348	3648.938271
349	3648.310155
350	3644.97153
351	3641.981418
352	3641.256612
353	3640.606833
354	3639.979378
355	3639.028127
356	3638.330064
357	3636.853177
358	3635.425186
359	3634.423672
360	3634.068265
361	3632.922308
362	3632.361789
363	3631.159144
364	3629.74111
365	3626.33927
366	3625.757133
367	3624.347399
368	3623.286036
369	3622.6761
370	3622.187429
371	3619.006706
372	3617.51983
373	3616.758274
374	3616.505118
375	3613.52494
376	3612.977679
377	3611.503022
378	3609.075095
379	3608.649226
380	3607.041121
381	3606.258872
382	3604.408297
383	3603.119212
384	3600.780934
385	3597.252342
386	3593.947735
387	3593.132063
388	3590.718648
389	3588.493628
390	3587.974398
391	3586.324961
392	3584.920391
393	3584.199108
394	3582.126406
395	3580.154198
396	3579.644568
397	3579.477527
398	3579.278253
399	3578.214688
400	3576.560151
401	3576.442406
402	3575.867263
403	3572.253374
