iter	Passed	Remaining
0	1	1470
1	2	1112
2	2	968
3	3	873
4	4	811
5	5	927
6	5	827
7	6	773
8	7	772
9	7	734
10	7	693
11	8	727
12	9	726
13	10	712
14	10	689
15	11	681
16	11	672
17	12	661
18	12	651
19	13	643
20	13	629
21	13	622
22	14	629
23	15	635
24	15	622
25	16	622
26	17	615
27	17	613
28	18	610
29	18	611
30	19	622
31	20	623
32	21	624
33	22	625
34	22	618
35	22	609
36	23	606
37	23	602
38	24	595
39	24	593
40	25	590
41	25	583
42	26	581
43	26	577
44	27	576
45	27	575
46	28	574
47	28	570
48	29	567
49	29	564
50	30	560
51	30	556
52	30	550
53	32	563
54	32	557
55	33	556
56	33	554
57	34	552
58	34	549
59	34	547
60	35	544
61	35	542
62	36	540
63	36	541
64	37	535
65	37	535
66	38	532
67	38	533
68	39	527
69	39	527
70	40	524
71	40	518
72	40	516
73	41	515
74	41	514
75	41	510
76	42	509
77	43	510
78	43	505
79	43	504
80	44	504
81	44	499
82	45	498
83	45	498
84	45	493
85	46	493
86	46	492
87	47	493
88	48	493
89	48	492
90	49	490
91	49	489
92	50	488
93	50	489
94	51	488
95	51	484
96	52	484
97	52	481
98	52	481
99	53	482
100	54	487
101	55	487
102	55	482
103	55	479
104	56	478
105	56	477
106	57	476
107	57	477
108	58	474
109	58	473
110	58	470
111	59	469
112	59	469
113	60	471
114	61	470
115	61	470
116	62	470
117	62	469
118	63	468
119	63	466
120	64	466
121	64	465
122	65	465
123	65	465
124	66	463
125	66	464
126	67	464
127	67	462
128	68	461
129	68	460
130	69	460
131	69	458
132	70	457
133	70	457
134	71	457
135	72	457
136	72	457
137	73	456
138	73	456
139	74	455
140	74	452
141	74	450
142	75	450
143	75	449
144	76	448
145	76	447
146	76	446
147	77	446
148	78	445
149	78	445
150	79	444
151	79	443
152	80	443
153	80	443
154	81	442
155	81	441
156	82	441
157	82	439
158	82	437
159	83	438
160	84	437
161	84	437
162	84	435
163	85	434
164	85	434
165	86	433
166	86	432
167	87	431
168	87	430
169	87	429
170	88	428
171	89	428
172	89	427
173	89	425
174	90	424
175	90	422
176	90	421
177	91	421
178	91	420
179	92	420
180	92	419
181	93	419
182	93	418
183	94	418
184	94	418
185	95	417
186	95	417
187	96	417
188	97	416
189	97	415
190	98	415
191	98	414
192	99	414
193	99	413
194	100	413
195	100	413
196	101	413
197	102	413
198	102	411
199	102	411
200	103	410
201	103	409
202	104	408
203	104	408
204	105	408
205	105	408
206	106	406
207	106	406
208	107	405
209	107	405
210	108	404
211	108	402
212	108	402
213	109	401
214	109	400
215	110	401
216	110	400
217	111	399
218	112	399
219	112	399
220	113	398
221	113	397
222	113	396
223	114	395
224	114	394
225	115	394
226	115	394
227	116	393
228	116	392
229	117	391
230	117	390
231	117	389
232	118	389
233	119	389
234	119	388
235	120	390
236	121	389
237	121	389
238	122	389
239	122	388
240	123	388
241	123	388
242	124	387
243	125	387
244	125	386
245	125	386
246	126	385
