iter	RMSE
0	973.6697017
1	967.7630519
2	961.9004645
3	956.1335411
4	950.2786534
5	944.5367251
6	938.8523738
7	933.0116613
8	927.3344918
9	921.726127
10	916.2849332
11	910.8431891
12	905.4359443
13	899.9822556
14	894.577467
15	889.134868
16	883.8511709
17	878.7049304
18	873.4265739
19	867.9461337
20	862.6840594
21	857.6895726
22	852.4777785
23	847.5659971
24	842.5014919
25	837.4391927
26	832.2538666
27	827.342473
28	822.1843709
29	817.286594
30	812.3741613
31	807.5451752
32	803.0730502
33	798.4607515
34	793.8502537
35	789.46753
36	784.9081771
37	780.295747
38	775.7303861
39	771.2303251
40	766.7083892
41	762.207406
42	757.7060673
43	753.4409679
44	749.0275649
45	744.5096673
46	739.9558153
47	735.6210359
48	731.3889727
49	727.1678302
50	723.0828479
51	718.7572615
52	714.6993556
53	710.5469658
54	706.5488139
55	702.4110545
56	698.6989419
57	694.7980902
58	690.8416083
59	686.9880758
60	683.0140177
61	679.1942267
62	675.2831427
63	671.5431426
64	667.6544463
65	663.7875448
66	660.1195048
67	656.2795747
68	652.7266979
69	648.9854194
70	645.2382575
71	641.8346443
72	638.2710008
73	634.7522295
74	631.0683003
75	627.3159445
76	623.9476948
77	620.6007909
78	617.0372873
79	613.6553173
80	610.3346483
81	606.8712827
82	603.4473229
83	600.2928545
84	596.9136336
85	593.7497996
86	590.7031239
87	587.3042925
88	584.0187084
89	580.8270623
90	577.6334628
91	574.5910612
92	571.5087952
93	568.5140001
94	565.4293899
95	562.2460383
96	559.1418146
97	556.1594009
98	553.4373092
99	550.4661238
100	547.5751912
101	544.8079663
102	541.9237364
103	539.2608478
104	536.6605144
105	533.9144253
106	531.2449351
107	528.5144733
108	525.6793375
109	523.0462743
110	520.5480786
111	517.7529644
112	515.0692223
113	512.2479222
114	509.6812604
115	507.151542
116	504.531945
117	501.9994683
118	499.4461945
119	496.8639992
120	494.4873853
121	491.8604652
122	489.371313
123	487.0489763
124	484.5805468
125	482.0920157
126	479.5584052
127	477.0779521
128	474.5852629
129	472.2958125
130	469.8927857
131	467.6355404
132	465.3886282
133	462.9503375
134	460.7487647
135	458.4710725
136	456.1552445
137	453.8996457
138	451.6886774
139	449.429616
140	447.3043502
141	445.2083867
142	443.0866142
143	440.9784635
144	438.8764661
145	436.8529149
146	434.8458548
147	432.8038355
148	430.7260514
149	428.8201046
150	426.9035818
151	424.785293
152	422.8180967
153	420.9864854
154	419.0873298
155	417.1342979
156	415.2605211
157	413.3570897
158	411.401715
159	409.6081347
160	407.7592467
161	405.8514598
162	404.0584623
163	402.2148282
164	400.3450649
165	398.4671529
166	396.6301113
167	394.8529011
168	393.0696871
169	391.3509978
170	389.5451684
171	387.8235397
172	386.0823136
173	384.362598
174	382.7531043
175	381.0074407
176	379.4468624
177	377.8623294
178	376.2305196
179	374.5619312
180	372.9695891
181	371.3708673
182	369.8722726
183	368.335793
184	366.756376
185	365.1927548
186	363.7262295
187	362.2024836
188	360.6993326
189	359.1246589
190	357.6127979
191	356.1573915
192	354.7425229
193	353.3050905
194	351.7777204
195	350.3839075
196	348.8785802
197	347.5361046
198	346.1882759
199	344.8100984
200	343.5562228
201	342.2605236
202	340.8412221
203	339.5119506
204	338.267428
205	337.0706742
206	335.798365
207	334.5395859
208	333.3946
209	332.1250625
210	330.9752261
211	329.7808257
212	328.5400961
213	327.2693012
214	326.0811645
215	324.9974465
216	323.8198841
217	322.728776
218	321.5553569
219	320.4332579
220	319.2731476
221	318.1558914
222	317.0114029
223	315.911578
224	314.7663051
225	313.6983361
226	312.6840586
227	311.6636189
228	310.501274
229	309.4905555
230	308.4722709
231	307.5837951
232	306.582057
233	305.5723512
234	304.5150427
235	303.5164661
236	302.4837845
237	301.4817749
238	300.5401804
239	299.5710234
240	298.6887485
241	297.7015634
242	296.700832
243	295.7637559
244	294.7821646
245	293.858067
246	292.9039255
247	292.0226869
248	291.0793987
249	290.1813273
250	289.2391951
251	288.3914086
252	287.4895904
253	286.6084884
254	285.8159988
255	285.002526
256	284.1829684
257	283.3273393
258	282.4764326
259	281.6534658
260	280.8845572
261	280.0774131
262	279.3085182
263	278.4818928
264	277.6804991
265	276.8669088
266	276.0915707
267	275.2835964
268	274.5903502
269	273.8468671
270	273.0444545
271	272.3135468
272	271.6334687
273	270.9323338
274	270.2020212
275	269.4952476
276	268.746047
277	268.0407834
278	267.3402059
279	266.6436899
280	265.9524779
281	265.2871069
282	264.6065625
283	263.9868422
284	263.3357713
285	262.692601
286	262.0323843
287	261.4053438
288	260.7609132
289	260.1410309
290	259.5102778
291	258.9278592
292	258.300247
293	257.6624376
294	257.0193543
295	256.4920894
296	255.8749823
297	255.2740407
298	254.721025
299	254.1642393
300	253.5784881
301	252.9849547
302	252.4360629
303	251.8492591
304	251.2725248
305	250.8144393
306	250.2553333
307	249.7099262
308	249.2115988
309	248.6938103
310	248.1679779
311	247.6539484
312	247.1181573
313	246.607902
314	246.0991879
315	245.5994118
316	245.0752578
317	244.5989179
318	244.1059832
319	243.6135103
