iter	Passed	Remaining
0	0	408
1	1	446
2	1	442
3	1	423
4	2	422
5	2	411
6	3	417
7	3	407
8	4	406
9	4	401
10	5	405
11	5	403
12	6	405
13	6	406
14	7	400
15	7	400
16	8	400
17	8	403
18	9	402
19	9	404
20	10	406
21	10	403
22	11	409
23	11	407
24	12	408
25	12	406
26	13	406
27	13	406
28	14	408
29	14	407
30	15	407
31	15	405
32	16	404
33	16	409
34	17	413
35	18	416
36	18	425
37	19	426
38	20	429
39	20	430
40	21	431
41	21	430
42	22	433
43	23	434
44	23	434
45	24	436
46	24	435
47	25	438
48	26	438
49	27	445
50	28	450
51	28	452
52	29	451
53	29	450
54	30	448
55	30	447
56	31	446
57	32	446
58	32	443
59	32	441
60	33	441
61	34	453
62	35	453
63	35	450
64	36	448
65	36	445
66	37	442
67	37	440
68	37	438
69	38	438
70	39	437
71	39	437
72	40	435
73	40	434
74	41	433
75	41	431
76	41	429
77	42	426
78	42	424
79	43	423
80	43	421
81	43	419
82	44	418
83	44	416
84	45	414
85	45	412
86	45	411
87	46	409
88	46	408
89	47	406
90	47	404
91	47	403
92	48	401
93	48	399
94	49	398
95	49	396
96	49	394
97	50	392
98	50	392
99	51	390
100	51	390
101	51	388
102	52	386
103	52	385
104	53	384
105	53	385
106	54	384
107	54	382
108	55	382
109	55	381
110	55	379
111	56	379
112	56	378
113	57	377
114	57	376
115	58	375
116	58	373
117	58	372
118	59	372
119	59	371
120	60	370
121	60	369
122	60	368
123	61	367
124	61	366
125	62	365
126	62	364
127	63	363
128	63	363
129	63	362
130	64	361
131	64	360
132	65	359
133	65	358
134	66	357
135	66	356
136	66	355
137	67	354
138	67	354
139	68	354
140	68	353
141	69	352
142	69	352
143	70	351
144	70	351
145	71	350
146	71	349
147	71	349
148	72	348
149	72	348
150	73	347
151	73	347
152	74	347
153	74	346
154	75	346
155	75	345
156	76	344
157	76	344
158	77	343
159	77	342
160	78	342
161	78	341
162	79	340
163	79	341
164	80	340
165	80	340
166	81	339
167	81	339
168	82	338
169	82	337
170	82	336
171	83	336
172	83	336
173	84	335
174	84	334
175	85	334
176	85	334
177	86	333
178	86	332
179	86	331
180	87	330
181	87	330
182	88	329
183	88	328
184	89	327
185	89	326
186	89	325
187	90	325
188	90	324
189	91	324
190	91	323
191	92	323
192	92	322
193	92	321
194	93	321
195	93	320
196	94	319
197	94	319
198	95	318
199	95	318
200	96	317
201	96	317
202	97	316
203	97	316
204	98	316
205	98	316
206	99	315
207	99	314
208	99	314
209	100	313
210	100	313
211	101	312
212	101	312
213	102	312
214	102	311
215	103	310
216	103	310
217	104	309
218	104	308
219	104	308
220	105	307
221	105	306
222	106	306
223	106	305
224	107	305
225	107	304
226	107	303
227	108	303
228	109	303
229	109	302
230	109	302
231	110	301
232	110	300
233	111	300
234	111	299
235	111	298
236	112	298
237	112	297
238	113	297
239	113	296
240	114	296
241	114	295
242	115	294
243	115	294
244	115	293
245	116	292
246	116	292
247	116	291
248	117	290
249	117	289
250	117	288
251	118	288
252	119	288
253	119	287
254	119	287
255	120	286
256	120	286
257	121	285
258	121	285
259	122	284
260	122	283
261	122	283
262	123	282
263	123	282
264	125	283
265	125	282
266	125	282
267	126	281
268	126	281
269	127	281
270	127	280
271	128	280
272	128	279
273	129	279
274	129	278
275	130	278
276	130	278
277	131	277
278	131	277
279	132	277
280	132	276
281	133	275
282	133	274
283	133	274
284	134	273
285	134	273
286	135	272
287	135	271
288	135	271
289	136	270
290	136	269
291	137	269
292	137	269
293	137	268
294	138	267
295	138	267
296	139	266
297	139	266
298	140	265
299	140	265
300	140	264
301	141	264
302	141	263
303	142	262
304	142	262
305	142	261
306	143	261
307	143	260
308	144	260
309	144	259
310	145	259
311	145	258
312	145	257
313	146	257
314	146	256
315	147	255
316	147	255
317	147	254
318	148	254
319	148	253
320	149	253
321	149	252
322	149	251
323	150	251
324	150	250
325	151	250
326	151	249
327	151	249
328	152	248
329	152	248
330	153	247
331	153	247
332	154	246
333	154	246
334	155	245
335	155	245
336	156	245
337	156	244
338	156	243
339	157	243
340	157	242
341	158	242
342	158	241
343	159	241
344	159	240
345	159	240
346	160	239
347	160	239
348	161	238
349	161	238
350	161	237
351	162	237
352	162	236
353	163	235
354	163	235
355	163	234
356	164	234
357	164	233
358	165	233
359	166	233
360	166	233
361	167	232
362	167	232
363	167	231
364	168	231
365	168	230
366	169	230
367	169	229
368	170	229
369	170	228
370	171	228
371	171	227
372	171	227
373	172	226
374	172	226
375	173	225
376	173	225
377	173	224
378	174	224
379	174	223
380	175	223
381	175	222
382	176	221
383	176	221
384	176	221
385	177	220
386	177	220
387	178	219
388	178	219
389	179	218
390	179	218
391	180	217
392	180	217
393	181	216
394	181	216
395	181	215
396	182	215
397	182	214
398	183	214
399	183	214
400	184	213
401	184	212
402	184	212
403	185	211
404	185	211
405	186	210
406	186	210
407	187	210
408	188	210
409	188	209
410	189	209
411	189	208
412	189	208
413	190	207
414	190	207
415	191	206
416	191	206
417	192	205
418	192	205
419	193	204
420	193	204
421	193	204
422	194	203
423	194	203
424	195	202
425	195	202
426	196	201
427	196	201
428	197	200
429	197	200
430	197	199
431	198	199
432	198	198
433	199	198
434	199	197
435	199	197
436	200	196
437	200	196
438	201	195
439	201	195
440	202	194
441	202	194
442	202	193
443	203	193
444	203	192
445	204	192
446	204	191
447	204	191
448	205	190
449	205	190
450	206	189
451	206	189
452	206	188
453	207	188
454	207	187
455	208	187
456	208	186
457	208	186
458	209	185
459	209	185
460	210	184
461	210	184
462	211	183
463	211	183
464	211	182
465	212	182
466	212	181
467	213	181
468	213	180
469	214	180
470	214	180
471	215	179
472	215	179
473	216	178
474	216	178
475	216	177
476	217	177
477	217	176
478	218	176
479	218	175
480	219	175
481	219	174
482	220	174
483	220	174
484	221	173
485	221	173
486	222	172
487	222	172
488	223	172
489	223	171
490	224	171
491	224	170
492	225	170
493	225	169
494	225	169
495	226	168
496	226	168
497	227	167
498	227	167
499	228	166
500	228	166
501	228	166
502	229	165
503	229	165
504	230	164
505	231	164
506	231	163
507	231	163
508	232	163
509	232	162
510	233	162
511	233	161
512	234	161
513	234	160
514	234	160
515	235	159
516	235	159
517	235	158
518	236	158
519	236	157
520	237	157
521	237	156
522	237	156
523	238	155
524	238	155
525	239	154
526	240	154
527	240	154
528	241	153
529	241	153
530	241	152
531	242	152
532	242	151
533	243	151
534	243	150
535	243	150
536	244	149
537	244	149
538	245	148
539	245	148
540	246	147
541	246	147
542	246	146
543	247	146
544	247	145
545	248	145
546	248	144
547	248	144
548	249	144
549	249	143
550	250	143
551	250	142
552	251	142
553	251	141
554	252	141
555	252	140
556	252	140
557	253	139
558	253	139
559	254	138
560	254	138
561	254	137
562	255	137
563	255	136
564	256	136
565	256	136
566	257	135
567	258	135
568	258	134
569	259	134
570	259	134
571	259	133
572	260	133
573	260	132
574	261	132
575	261	131
576	261	131
577	262	130
578	262	130
579	263	129
580	263	129
581	264	128
582	264	128
583	264	127
584	265	127
585	265	127
586	266	126
587	266	126
588	267	125
589	267	125
590	268	124
591	268	124
592	268	123
593	269	123
594	269	122
595	270	122
596	270	121
597	270	121
598	271	120
599	271	120
600	272	120
601	272	119
602	273	119
603	273	118
604	273	118
605	274	117
606	274	117
607	275	116
608	275	116
609	275	115
610	276	115
611	276	114
612	277	114
613	277	113
614	278	113
615	278	113
616	278	112
617	279	112
618	279	111
619	280	111
620	280	110
621	281	110
622	281	109
623	281	109
624	282	108
625	282	108
626	282	107
627	283	107
628	283	106
629	284	106
630	284	105
631	284	105
632	285	105
633	286	104
634	286	104
635	286	103
636	287	103
637	287	102
638	287	102
639	288	101
640	288	101
641	289	100
642	289	100
643	289	99
644	290	99
645	290	99
646	291	98
647	291	98
648	291	97
649	292	97
650	292	96
651	293	96
652	293	95
653	293	95
654	294	94
655	294	94
656	295	93
657	295	93
658	296	93
659	296	92
660	296	92
661	297	91
662	297	91
663	298	90
664	299	90
665	299	89
666	300	89
667	300	89
668	300	88
669	301	88
670	301	87
671	302	87
672	302	86
673	302	86
674	303	85
675	303	85
676	304	84
677	304	84
678	304	83
679	305	83
680	305	83
681	306	82
682	306	82
683	307	81
684	307	81
685	307	80
686	308	80
687	308	79
688	309	79
689	309	78
690	309	78
691	310	78
692	310	77
693	311	77
694	311	76
695	311	76
696	312	75
697	312	75
698	312	74
699	313	74
700	313	73
701	314	73
702	314	72
703	314	72
704	315	71
705	315	71
706	316	71
707	316	70
708	317	70
709	318	69
710	318	69
711	319	69
712	319	68
713	320	68
714	320	67
715	320	67
716	321	66
717	321	66
718	322	65
719	322	65
720	323	65
721	323	64
722	324	64
723	324	63
724	325	63
725	325	62
726	326	62
727	326	61
728	326	61
729	327	60
730	327	60
731	328	60
732	328	59
733	328	59
734	329	58
735	329	58
736	330	57
737	330	57
738	330	56
739	331	56
740	331	55
741	332	55
742	332	55
743	333	54
744	333	54
745	333	53
746	334	53
747	334	52
748	335	52
749	335	51
750	335	51
751	336	50
752	336	50
753	336	50
754	337	49
755	337	49
756	338	48
757	338	48
758	338	47
759	339	47
760	339	46
761	340	46
762	340	45
763	340	45
764	341	45
765	341	44
766	342	44
767	342	43
768	343	43
769	343	42
770	343	42
771	344	41
772	344	41
773	345	41
774	345	40
775	345	40
776	346	39
777	346	39
778	347	38
779	347	38
780	347	37
781	348	37
782	348	36
783	349	36
784	349	36
785	349	35
786	350	35
787	350	34
788	351	34
789	351	33
790	351	33
791	352	32
792	352	32
793	353	32
794	353	31
795	354	31
796	354	30
797	354	30
798	355	29
799	355	29
800	356	28
801	357	28
802	357	28
803	358	27
804	358	27
805	358	26
806	359	26
807	359	25
808	360	25
809	360	24
810	361	24
811	361	24
812	362	23
813	362	23
814	362	22
815	363	22
816	363	21
817	363	21
818	364	20
819	364	20
820	365	20
821	365	19
822	366	19
823	366	18
824	366	18
825	367	17
826	367	17
827	368	16
828	368	16
829	368	15
830	369	15
831	369	15
832	370	14
833	370	14
834	370	13
835	371	13
836	371	12
837	372	12
838	372	11
839	372	11
840	373	11
841	373	10
842	374	10
843	374	9
844	375	9
845	375	8
846	375	8
847	376	7
848	376	7
849	377	7
850	377	6
851	378	6
852	378	5
853	378	5
854	379	4
855	379	4
856	380	3
857	380	3
858	380	3
859	381	2
860	381	2
861	382	1
862	382	1
863	382	0
864	383	0
865	383	0
