iter	RMSE
0	11693.24763
1	11353.26402
2	11053.50668
3	10713.00644
4	10411.7793
5	10105.24284
6	9837.514403
7	9579.857064
8	9324.602196
9	9076.62471
10	8837.314716
11	8631.49438
12	8437.491484
13	8245.064689
14	8041.658222
15	7880.282109
16	7699.741414
17	7527.247226
18	7373.652893
19	7216.040651
20	7069.069826
21	6918.466733
22	6782.117019
23	6663.290414
24	6546.197986
25	6433.031795
26	6316.882986
27	6208.900976
28	6110.454007
29	6026.180544
30	5928.763469
31	5847.108803
32	5759.785418
33	5678.013675
34	5596.808529
35	5518.335206
36	5446.225634
37	5385.691431
38	5329.518868
39	5266.751323
40	5214.695473
41	5169.768993
42	5121.804635
43	5070.567914
44	5024.162407
45	4978.582621
46	4935.933989
47	4893.900134
48	4856.477609
49	4822.322732
50	4788.321352
51	4754.568767
52	4727.977764
53	4706.914564
54	4679.643037
55	4649.504585
56	4624.81941
57	4600.926307
58	4576.045724
59	4555.020751
60	4535.02536
61	4512.428132
62	4493.649123
63	4475.557379
64	4459.856663
65	4441.503977
66	4426.416559
67	4408.284849
68	4395.308282
69	4381.991039
70	4368.392664
71	4351.219567
72	4341.582221
73	4329.497869
74	4314.930685
75	4305.802451
76	4298.579653
77	4287.273835
78	4276.882672
79	4273.546988
80	4265.759719
81	4256.7173
82	4249.869246
83	4239.523335
84	4233.768565
85	4224.416159
86	4214.724041
87	4205.032638
88	4199.335359
89	4193.411727
90	4186.915972
91	4178.453313
92	4171.639839
93	4166.931285
94	4159.166872
95	4151.562345
96	4146.841196
97	4143.981208
98	4137.22
99	4133.334081
100	4126.512648
101	4117.256709
102	4111.1784
103	4107.728774
104	4102.009339
105	4095.905836
106	4091.653641
107	4087.64094
108	4082.688243
109	4076.750979
110	4070.974726
111	4067.867706
112	4063.805314
113	4059.750132
114	4053.968944
115	4048.392637
116	4044.379961
117	4040.850362
118	4034.829796
119	4030.636245
120	4028.067232
121	4022.843024
122	4019.096411
123	4014.477512
124	4009.908611
125	4007.544467
126	4002.934307
127	3998.725731
128	3994.871374
129	3992.633191
130	3990.212471
131	3986.50997
132	3982.253457
133	3978.790244
134	3973.977642
135	3971.147162
136	3966.018105
137	3961.160395
138	3958.730937
139	3956.008486
140	3951.145379
141	3949.726782
142	3946.791095
143	3944.66603
144	3942.074156
145	3939.910548
146	3934.01581
147	3931.622183
148	3926.475396
149	3919.552364
150	3914.784528
151	3912.727404
152	3910.773838
153	3908.685297
154	3902.458349
155	3895.845693
156	3893.111812
157	3890.094256
158	3886.56657
159	3884.729778
160	3883.242013
161	3879.864759
162	3878.107673
163	3876.195339
164	3873.400683
165	3867.177064
166	3864.565279
167	3858.626424
168	3855.561305
169	3847.284616
170	3842.984041
171	3838.765384
172	3836.51851
173	3833.349923
174	3831.748507
175	3827.928317
176	3824.649411
177	3822.195145
178	3820.367674
179	3818.220496
180	3815.553411
181	3809.794225
182	3806.57488
183	3802.606646
184	3800.723543
185	3797.482419
186	3794.326259
187	3793.413094
188	3791.342928
189	3786.250065
190	3781.539166
191	3778.854628
192	3775.516469
193	3775.0859
194	3771.992794
195	3769.287513
196	3766.251432
197	3764.52251
198	3760.231752
199	3758.622272
200	3757.094103
201	3751.486745
202	3751.075435
203	3747.542517
204	3745.40637
205	3742.332815
206	3740.468357
207	3738.955783
208	3737.038792
209	3734.731339
210	3734.420841
211	3732.907902
212	3731.564188
213	3728.651073
214	3727.047248
215	3725.488874
216	3723.488003
217	3722.573174
218	3720.123904
219	3717.226863
220	3716.037354
221	3714.581689
222	3711.642396
223	3709.931736
224	3708.375868
225	3705.948104
226	3703.495943
227	3701.235637
228	3699.157049
229	3697.090068
230	3696.463236
231	3694.709053
232	3692.245368
233	3689.489365
234	3684.145094
235	3680.084046
236	3675.292685
237	3673.604271
238	3672.677006
239	3671.168889
240	3670.519134
241	3667.202197
242	3661.359193
243	3660.544888
244	3658.849525
245	3657.360689
246	3654.657149
247	3652.913211
248	3648.408534
249	3647.910751
250	3643.703136
251	3639.102108
252	3638.673687
253	3636.684622
254	3632.715433
255	3630.945488
256	3629.851968
257	3626.941618
258	3625.293973
259	3624.181086
260	3622.44091
261	3617.73023
262	3616.265449
263	3613.993804
264	3612.167529
265	3610.744835
266	3609.654836
267	3608.258474
268	3607.031805
269	3605.986245
270	3604.152043
271	3602.362113
272	3596.160929
273	3595.093541
274	3590.731741
275	3589.409244
276	3587.5568
277	3586.178092
278	3584.816382
