iter	Passed	Remaining
0	2	2338
1	2	1292
2	4	1485
3	5	1269
4	5	1122
5	5	983
6	6	925
7	7	879
8	7	842
9	8	812
10	8	786
11	8	737
12	9	717
13	9	700
14	11	728
15	11	725
16	12	707
17	12	694
18	13	682
19	13	670
20	14	660
21	14	652
22	15	648
23	16	659
24	16	644
25	17	642
26	17	636
27	18	634
28	18	635
29	19	620
30	19	621
31	20	619
32	21	619
33	21	616
34	21	604
35	22	597
36	22	593
37	23	584
38	23	578
39	23	574
40	24	576
41	24	567
42	25	560
43	25	560
44	26	560
45	26	558
46	27	555
47	27	551
48	28	547
49	28	543
50	29	539
51	29	535
52	29	533
53	30	526
54	30	522
55	30	519
56	31	517
57	31	514
58	32	511
59	32	508
60	32	506
61	33	503
62	33	502
63	34	499
64	34	497
65	35	496
66	35	492
67	35	490
68	36	488
69	36	486
70	36	483
71	37	483
72	37	479
73	38	477
74	38	476
75	39	475
76	39	470
77	39	468
78	40	466
79	40	461
80	40	458
81	40	457
82	41	455
83	41	454
84	41	451
85	42	449
86	42	448
87	43	445
88	43	443
89	43	441
90	43	439
91	44	437
92	44	435
93	44	433
94	45	431
95	45	429
96	46	429
97	46	427
98	46	426
99	47	425
100	47	423
101	47	421
102	48	419
103	48	418
104	48	417
105	49	416
106	49	415
107	50	415
108	51	417
109	51	415
110	51	413
111	51	411
112	52	409
113	52	407
114	52	406
115	53	404
116	53	402
117	53	401
118	53	399
119	54	397
120	54	396
121	54	394
122	55	393
123	55	392
124	55	390
125	56	390
126	56	389
127	56	387
128	57	386
129	57	385
130	57	383
131	58	382
132	58	381
133	58	379
134	59	378
135	59	377
136	59	375
137	59	374
138	60	373
139	60	371
140	60	370
141	61	369
142	61	368
143	61	366
144	62	365
145	62	364
146	62	363
147	63	362
148	63	361
149	63	360
150	63	359
151	64	358
152	64	357
153	64	355
154	65	355
155	65	355
156	66	354
157	66	353
158	66	352
159	66	351
160	67	350
161	67	349
162	67	349
163	68	348
164	68	347
165	69	347
166	69	346
167	69	345
168	70	344
169	70	343
170	70	342
171	71	342
172	71	341
173	71	341
174	72	340
175	72	340
176	73	339
177	73	338
178	73	338
179	74	337
180	74	336
181	74	335
182	75	335
183	75	334
184	75	334
185	76	333
186	76	332
187	76	331
188	77	330
189	77	330
190	77	329
191	78	328
192	78	327
193	78	326
194	78	325
195	79	324
196	79	323
197	79	322
198	80	322
199	80	321
200	80	320
201	80	319
202	81	318
203	81	317
204	81	317
205	82	317
206	82	316
207	83	316
208	83	315
209	83	315
210	83	313
211	84	313
212	84	313
213	85	312
214	85	311
215	85	311
216	86	310
217	86	309
218	86	309
219	87	308
220	87	308
221	87	307
222	88	306
223	88	306
224	88	306
225	89	306
226	90	306
227	90	306
228	90	306
229	91	305
230	91	305
231	92	304
232	92	303
233	92	303
234	92	302
235	93	301
236	93	301
237	93	300
238	94	300
239	94	299
240	94	298
241	95	297
242	95	297
243	95	296
244	95	295
245	96	294
246	96	294
247	96	293
248	97	292
249	97	292
250	97	292
251	98	291
252	98	290
253	98	290
254	99	289
255	99	288
256	99	288
257	100	287
258	100	287
259	100	286
260	100	285
261	101	285
262	101	284
263	101	283
264	102	283
265	102	282
266	103	282
267	103	282
268	103	282
269	104	281
270	104	281
271	104	280
272	105	280
273	105	279
274	105	278
275	106	278
276	106	277
277	106	277
278	107	276
279	107	275
280	107	275
281	107	274
282	108	274
283	108	273
284	108	273
285	109	272
286	109	271
287	109	271
288	110	270
289	110	270
290	110	269
291	110	269
292	111	268
293	111	268
294	111	267
295	112	267
296	112	266
297	113	266
298	113	265
299	113	265
300	114	265
301	114	264
302	114	263
303	114	263
304	115	262
305	115	262
306	116	261
307	116	261
308	116	260
309	116	260
310	117	260
311	117	259
312	118	259
313	118	258
314	118	257
315	118	257
316	119	256
317	119	256
318	119	255
319	120	255
320	120	254
321	120	254
322	120	253
323	121	252
324	121	252
325	121	251
326	122	251
327	122	250
328	122	250
329	122	249
330	123	249
331	123	248
332	124	248
333	124	248
334	124	247
335	125	247
336	125	246
337	125	245
338	125	245
339	126	244
340	126	244
341	126	243
342	127	243
343	127	243
344	127	242
345	127	241
346	128	241
347	128	241
348	129	240
349	129	240
350	129	240
351	130	239
352	130	239
353	130	238
354	131	238
355	131	237
356	131	237
357	132	237
358	132	236
359	132	236
360	133	235
361	133	235
362	133	234
363	133	234
364	134	233
365	134	233
366	134	232
367	135	232
368	135	231
369	135	231
370	136	230
371	136	230
372	136	230
373	137	229
374	137	229
375	137	228
376	138	228
377	138	227
378	138	227
379	139	227
380	139	226
381	140	226
382	140	226
383	140	225
384	141	225
385	141	224
386	141	224
387	141	223
388	142	223
389	142	222
390	142	222
391	143	221
392	143	221
393	143	220
394	143	220
395	144	220
396	144	219
397	144	219
398	145	218
399	145	218
400	145	217
401	146	217
402	146	217
403	146	216
404	147	216
405	147	216
406	148	215
407	148	215
408	148	214
409	148	214
410	149	213
411	149	213
412	149	212
413	150	212
414	150	212
415	150	211
416	151	211
417	151	210
418	151	210
419	151	209
420	152	209
421	152	208
422	152	208
423	153	208
424	153	207
425	153	207
426	154	206
427	154	206
428	154	205
429	155	205
430	155	205
431	155	204
432	155	204
433	156	203
434	156	203
435	156	202
436	157	202
437	157	202
438	157	201
439	158	202
440	159	201
441	159	201
442	159	200
443	159	200
444	160	200
445	160	199
446	161	199
447	161	198
448	161	198
449	162	198
450	162	198
451	163	197
452	163	197
453	163	196
454	163	196
455	164	195
456	164	195
457	164	195
458	165	194
459	165	194
460	166	194
461	166	193
462	166	193
463	166	192
464	167	192
465	167	192
466	167	191
467	168	191
468	168	190
469	168	190
470	169	190
471	169	189
472	169	189
473	170	188
474	170	188
475	170	188
476	171	187
477	171	187
478	171	186
479	172	186
480	172	185
481	172	185
482	173	185
483	173	184
484	173	184
485	173	183
486	174	183
487	174	183
488	174	182
489	175	182
490	175	181
491	175	181
492	176	181
493	176	180
494	176	180
495	177	179
496	177	179
497	178	179
498	178	179
499	178	178
500	178	178
501	179	177
502	179	177
503	179	177
504	180	176
505	180	176
506	180	175
507	181	175
508	181	175
509	181	174
510	182	174
511	183	174
512	183	174
513	183	173
514	183	173
515	184	172
516	184	172
517	184	172
518	185	171
519	185	171
520	185	170
521	186	170
522	186	170
523	187	169
524	187	169
525	187	169
526	187	168
527	188	168
528	188	167
529	188	167
530	189	167
531	189	166
532	189	166
533	190	165
534	190	165
535	190	165
536	190	164
537	191	164
538	191	163
539	191	163
540	192	163
541	192	162
542	192	162
543	193	161
544	193	161
545	193	161
546	194	160
547	194	160
548	194	159
549	195	159
550	195	159
551	195	158
552	196	158
553	196	158
554	196	157
555	197	157
556	197	157
557	197	156
558	198	156
559	198	155
560	198	155
561	198	155
562	199	154
563	199	154
564	199	153
565	200	153
566	200	153
567	200	152
568	201	152
569	201	152
570	201	151
571	202	151
572	202	150
573	202	150
574	203	150
575	203	149
576	203	149
577	204	148
578	204	148
579	204	148
580	204	147
581	205	147
582	205	147
583	205	146
584	206	146
585	206	145
586	206	145
587	207	145
588	207	144
589	207	144
590	208	144
591	208	143
592	208	143
593	209	142
594	209	142
595	209	142
596	210	141
